County,State,Latitude,Longitude 
Spartanburg,South Carolina,34.9309,-81.9908
Weld,Colorado,40.5548,-104.3925
Fayette,Kentucky,38.0423,-84.4587
Lancaster,Nebraska,40.7842,-96.6878
Durham,North Carolina,36.036,-78.8766
Escambia,Florida,30.669,-87.363
Albany,New York,42.6002,-73.9736
Rockingham,New Hampshire,42.9875,-71.1254
Lorain,Ohio,41.2957,-82.151
Northampton,Pennsylvania,40.7542,-75.3076
McHenry,Illinois,42.3244,-88.4523
Lubbock,Texas,33.6102,-101.8205
St. Louis,Missouri,38.6359,-90.2451
Gloucester,New Jersey,39.7173,-75.1414
Cumberland,Maine,43.8465,-70.399
Greene,Missouri,37.258,-93.342
Dutchess,New York,41.7652,-73.7429
Chatham,Georgia,32.0043,-81.1329
Clayton,Georgia,33.5419,-84.3577
Ottawa,Michigan,42.9598,-85.9961
Anchorage,Alaska,61.1508,-149.1091
Cleveland,Oklahoma,35.2031,-97.3265
Lexington,South Carolina,33.9023,-81.2722
Leon,Florida,30.458,-84.2779
Thurston,Washington,46.9258,-122.8332
Ingham,Michigan,42.5971,-84.3735
Winnebago,Illinois,42.3363,-89.1609
Dauphin,Pennsylvania,40.4154,-76.7795
San Luis Obispo,California,35.3871,-120.4044
Merced,California,37.1919,-120.7177
Benton,Arkansas,36.3387,-94.2561
York,South Carolina,34.9748,-81.1845
Alachua,Florida,29.6747,-82.3577
Atlantic,New Jersey,39.4777,-74.661
Kitsap,Washington,47.613,-122.6716
Santa Cruz,California,37.0562,-122.0018
St. Joseph,Indiana,41.6167,-86.2899
Erie,Pennsylvania,41.9925,-80.0327
New London,Connecticut,41.4867,-72.1014
Frederick,Maryland,39.4722,-77.398
Brown,Wisconsin,44.4525,-88.0037
Buncombe,North Carolina,35.6112,-82.5301
Webb,Texas,27.7611,-99.3315
Madison,Illinois,38.8297,-89.9049
St. Johns,Florida,29.9016,-81.4407
Washington,Minnesota,45.0388,-92.8838
St. Tammany,Louisiana,30.4102,-89.9583
Marin,California,38.0735,-122.7235
Cherokee,Georgia,34.244,-84.4763
Kalamazoo,Michigan,42.2455,-85.5312
Weber,Utah,41.2698,-111.9134
Harford,Maryland,39.5611,-76.3171
St. Clair,Illinois,38.4703,-89.9284
McLennan,Texas,31.5524,-97.2018
Cumberland,Pennsylvania,40.1636,-77.2655
Jefferson,Texas,29.8841,-94.1629
Yakima,Washington,46.4571,-120.7385
Clay,Missouri,39.3105,-94.4209
Chesapeake,Virginia,36.6778,-76.3024
Forsyth,Georgia,34.2255,-84.1251
Washington,Arkansas,35.9791,-94.2156
Williamson,Tennessee,35.8938,-86.8987
Lafayette,Louisiana,30.2068,-92.0639
Caddo,Louisiana,32.5806,-93.8823
Warren,Ohio,39.4277,-84.1668
Norfolk,Virginia,36.8945,-76.259
Henry,Georgia,33.453,-84.1542
Arlington,Virginia,38.8786,-77.1011
Union,North Carolina,34.9884,-80.5307
Saratoga,New York,43.1074,-73.8639
Hays,Texas,30.0579,-98.0312
Sussex,Delaware,38.6606,-75.39
Yavapai,Arizona,34.5998,-112.5538
Lake,Ohio,41.6963,-81.2373
Oneida,New York,43.2418,-75.4358
Smith,Texas,32.375,-95.2692
Brazos,Texas,30.6608,-96.3024
Hinds,Mississippi,32.2667,-90.4428
Montgomery,Alabama,32.2203,-86.2076
Mahoning,Ohio,41.0146,-80.7763
Linn,Iowa,42.079,-91.599
Barnstable,Massachusetts,41.7244,-70.2904
Canyon,Idaho,43.6251,-116.7093
Baldwin,Alabama,30.7276,-87.7226
Gaston,North Carolina,35.2944,-81.1803
Jefferson,Missouri,38.2611,-90.5377
Richmond,Virginia,37.5295,-77.4756
New Hanover,North Carolina,34.2328,-77.8847
Berkeley,South Carolina,33.1973,-79.9522
Whatcom,Washington,48.8259,-121.7199
Tuscaloosa,Alabama,33.2896,-87.5251
Jackson,Oregon,42.4322,-122.7285
Cabarrus,North Carolina,35.3868,-80.5519
Shelby,Alabama,33.2643,-86.6607
Doña Ana,New Mexico,32.3526,-106.8328
Butte,California,39.6669,-121.6007
Yolo,California,38.6866,-121.9016
Clay,Florida,29.9831,-81.8579
Montgomery,Tennessee,36.4969,-87.3828
Lackawanna,Pennsylvania,41.4367,-75.6092
Niagara,New York,43.2001,-78.7452
Calcasieu,Louisiana,30.2293,-93.3581
Johnston,North Carolina,35.5178,-78.3657
Mohave,Arizona,35.7041,-113.7579
Delaware,Ohio,40.2784,-83.0049
York,Maine,43.4782,-70.7144
Okaloosa,Florida,30.6913,-86.5917
Washington,Pennsylvania,40.1894,-80.2483
Clermont,Ohio,39.0476,-84.1517
Harrison,Mississippi,30.5122,-89.1161
Champaign,Illinois,40.1401,-88.1992
Elkhart,Indiana,41.5974,-85.8587
Richmond,Georgia,33.3596,-82.0736
Benton,Washington,46.2398,-119.5112
Muscogee,Georgia,32.51,-84.8771
Yuma,Arizona,32.7695,-113.9056
Anderson,South Carolina,34.5193,-82.6378
Trumbull,Ohio,41.3172,-80.7611
Hall,Georgia,34.3169,-83.8197
Onslow,North Carolina,34.7321,-77.4321
Hawaii,Hawaii,19.5985,-155.5185
St. Louis,Minnesota,47.6031,-92.4707
Broome,New York,42.1602,-75.8196
Racine,Wisconsin,42.7475,-88.0613
Sangamon,Illinois,39.7582,-89.6589
Deschutes,Oregon,43.915,-121.2281
Minnehaha,South Dakota,43.6742,-96.7915
Livingston,Michigan,42.6029,-83.9115
Sumner,Tennessee,36.4694,-86.4604
Butler,Pennsylvania,40.912,-79.9133
Hernando,Florida,28.5535,-82.4245
El Dorado,California,38.7787,-120.5247
Saginaw,Michigan,43.335,-84.0532
Outagamie,Wisconsin,44.4161,-88.4649
Sarpy,Nebraska,41.1129,-96.112
Ellis,Texas,32.3484,-96.7947
Beaufort,South Carolina,32.3855,-80.7302
Tippecanoe,Indiana,40.3886,-86.8941
Litchfield,Connecticut,41.7925,-73.2453
Newport News,Virginia,37.1051,-76.5185
Charlotte,Florida,26.9055,-81.9123
Santa Rosa,Florida,30.7004,-87.0219
Iredell,North Carolina,35.8071,-80.8734
DeSoto,Mississippi,34.8753,-89.9912
Cass,North Dakota,46.933,-97.248
Peoria,Illinois,40.788,-89.76
Boone,Missouri,38.9906,-92.3097
Kanawha,West Virginia,38.3366,-81.5281
Shasta,California,40.7637,-122.0405
Ulster,New York,41.8881,-74.2586
Medina,Ohio,41.1176,-81.8997
Bay,Florida,30.2652,-85.6203
Kent,Delaware,39.086,-75.5686
Imperial,California,33.0395,-115.3653
Vanderburgh,Indiana,38.0249,-87.5859
Shawnee,Kansas,39.0415,-95.7565
Licking,Ohio,40.0916,-82.4831
Johnson,Texas,32.379,-97.3665
Washington,Utah,37.2804,-113.5048
Muskegon,Michigan,43.2912,-86.152
Scott,Iowa,41.6371,-90.6232
Porter,Indiana,41.4603,-87.0672
Lee,Alabama,32.6011,-85.3555
Carroll,Maryland,39.5629,-77.0225
Hendricks,Indiana,39.7695,-86.51
McLean,Illinois,40.4909,-88.8473
Winnebago,Wisconsin,44.0689,-88.6446
Pitt,North Carolina,35.5933,-77.3745
Guadalupe,Texas,29.5831,-97.9486
Kent,Rhode Island,41.6722,-71.593
Alamance,North Carolina,36.0437,-79.3994
Kenosha,Wisconsin,42.5769,-88.0424
Wyandotte,Kansas,39.1146,-94.7646
Kootenai,Idaho,47.6744,-116.7018
Kenton,Kentucky,38.9334,-84.5333
Beaver,Pennsylvania,40.6823,-80.3493
Monroe,Pennsylvania,41.0581,-75.3395
Aiken,South Carolina,33.5443,-81.6347
Davidson,North Carolina,35.7933,-80.2128
Chittenden,Vermont,44.4611,-73.0813
Pueblo,Colorado,38.1735,-104.5127
Greene,Ohio,39.6915,-83.8899
Midland,Texas,31.8691,-102.0316
Paulding,Georgia,33.9205,-84.8673
Charles,Maryland,38.5073,-76.9922
Maui,Hawaii,20.8596,-156.5649
Middlesex,Connecticut,41.4632,-72.5351
Yellowstone,Montana,45.9373,-108.2744
Rock,Wisconsin,42.6712,-89.0716
Portage,Ohio,41.1677,-81.1974
Hampshire,Massachusetts,42.3402,-72.6638
Ector,Texas,31.8692,-102.5429
Houston,Georgia,32.459,-83.6662
Rensselaer,New York,42.7111,-73.5097
Olmsted,Minnesota,44.0038,-92.4018
Jackson,Michigan,42.2485,-84.4234
Ouachita,Louisiana,32.4784,-92.1549
Dorchester,South Carolina,33.0793,-80.4067
St. Clair,Michigan,42.9341,-82.6806
Catawba,North Carolina,35.662,-81.2151
Johnson,Indiana,39.49,-86.1016
Centre,Pennsylvania,40.9193,-77.8199
Martin,Florida,27.0775,-80.4315
Alexandria,Virginia,38.8185,-77.0861
Indian River,Florida,27.6943,-80.6062
Sullivan,Tennessee,36.5129,-82.3042
Stearns,Minnesota,45.5521,-94.613
Fairfield,Ohio,39.7516,-82.6306
Schenectady,New York,42.8181,-74.0586
Bibb,Georgia,32.8065,-83.6974
Madera,California,37.218,-119.7627
Comal,Texas,29.8082,-98.2783
Rankin,Mississippi,32.2641,-89.9458
Franklin,Pennsylvania,39.9274,-77.7213
Cumberland,New Jersey,39.3738,-75.1107
Mesa,Colorado,39.0183,-108.4664
Columbia,Georgia,33.5441,-82.2641
Berrien,Michigan,41.9547,-86.4123
Stafford,Virginia,38.4207,-77.458
Monroe,Michigan,41.9291,-83.5394
Washington,Maryland,39.6036,-77.814
Santa Fe,New Mexico,35.5069,-105.9763
Merrimack,New Hampshire,43.2975,-71.6802
Penobscot,Maine,45.4006,-68.6495
Citrus,Florida,28.8489,-82.4794
Kings,California,36.0752,-119.8155
Johnson,Iowa,41.6715,-91.5881
Canadian,Oklahoma,35.5424,-97.9824
Tolland,Connecticut,41.855,-72.3365
Scott,Minnesota,44.6485,-93.5359
Orange,North Carolina,36.0611,-79.1207
Sandoval,New Mexico,35.6886,-106.8659
Rowan,North Carolina,35.6394,-80.5247
Coconino,Arizona,35.8387,-111.7705
Coweta,Georgia,33.3534,-84.7634
Parker,Texas,32.7776,-97.8051
Wilson,Tennessee,36.1549,-86.2977
Rock Island,Illinois,41.4673,-90.5674
Sussex,New Jersey,41.1393,-74.6908
Randolph,North Carolina,35.7103,-79.806
Douglas,Georgia,33.7018,-84.768
Schuylkill,Pennsylvania,40.7058,-76.216
Jackson,Mississippi,30.5423,-88.6357
Lebanon,Pennsylvania,40.3672,-76.4577
Taylor,Texas,32.3015,-99.8902
Livingston,Louisiana,30.4401,-90.7279
Monroe,Indiana,39.1609,-86.5231
Kaufman,Texas,32.5993,-96.2878
Wright,Minnesota,45.1739,-93.9631
Randall,Texas,34.9659,-101.897
Napa,California,38.5065,-122.3305
Spotsylvania,Virginia,38.185,-77.6561
Marathon,Wisconsin,44.8983,-89.7591
Florence,South Carolina,34.0245,-79.703
Humboldt,California,40.6993,-123.8756
Hampton,Virginia,37.0551,-76.363
Washington,Wisconsin,43.3685,-88.2307
Clark,Ohio,39.9168,-83.7838
Boone,Kentucky,38.9699,-84.7278
Calhoun,Michigan,42.2465,-85.0056
Grayson,Texas,33.6268,-96.6777
Cambria,Pennsylvania,40.4952,-78.7135
Blount,Tennessee,35.6872,-83.9255
Brunswick,North Carolina,34.071,-78.2377
Warren,Kentucky,36.9936,-86.4238
Harnett,North Carolina,35.3688,-78.8693
Tangipahoa,Louisiana,30.6266,-90.4057
Washington,Tennessee,36.2933,-82.4974
Tazewell,Illinois,40.5075,-89.5134
Wood,Ohio,41.3617,-83.623
Cache,Utah,41.7224,-111.7436
Black Hawk,Iowa,42.4701,-92.3088
Kendall,Illinois,41.5906,-88.4288
Strafford,New Hampshire,43.2969,-71.0289
Rapides,Louisiana,31.1986,-92.5332
Madison,Indiana,40.1616,-85.7194
Washington,Rhode Island,41.4697,-71.6226
Pickens,South Carolina,34.8873,-82.7253
Fayette,Pennsylvania,39.9201,-79.6474
Wichita,Texas,33.988,-98.7035
Berkshire,Massachusetts,42.3707,-73.2063
Hunterdon,New Jersey,40.5673,-74.9122
Bossier,Louisiana,32.6784,-93.6049
Skagit,Washington,48.4794,-121.7302
Clarke,Georgia,33.9512,-83.3673
Chautauqua,New York,42.2281,-79.3663
Sebastian,Arkansas,35.1988,-94.2743
Sumter,Florida,28.7048,-82.081
Linn,Oregon,44.4886,-122.5343
Ascension,Louisiana,30.2036,-90.9113
Cochise,Arizona,31.8796,-109.7512
Richland,Ohio,40.7747,-82.5365
Gregg,Texas,32.4805,-94.817
Kennebec,Maine,44.4091,-69.7673
Faulkner,Arkansas,35.147,-92.332
Blair,Pennsylvania,40.4811,-78.3484
San Juan,New Mexico,36.5085,-108.3206
Morgan,Alabama,34.4535,-86.8529
Saline,Arkansas,34.6466,-92.6766
Jasper,Missouri,37.2036,-94.3406
Bonneville,Idaho,43.3877,-111.6148
Comanche,Oklahoma,34.6621,-98.4717
Berkeley,West Virginia,39.4641,-78.0275
La Crosse,Wisconsin,43.9066,-91.1152
Clark,Indiana,38.4772,-85.7073
Allegan,Michigan,42.5913,-85.8884
Tom Green,Texas,31.4044,-100.4621
Potter,Texas,35.4013,-101.8939
Robeson,North Carolina,34.6402,-79.1039
Douglas,Kansas,38.8847,-95.2926
Carroll,Georgia,33.5828,-85.0798
Oswego,New York,43.4269,-76.1413
Fayette,Georgia,33.4139,-84.4943
Wayne,North Carolina,35.364,-78.004
Jefferson,New York,44.0495,-75.921
Sheboygan,Wisconsin,43.7212,-87.9454
Lowndes,Georgia,30.8338,-83.2677
Missoula,Montana,47.0365,-113.9237
Wayne,Ohio,40.8289,-81.888
Gallatin,Montana,45.5404,-111.1704
Windham,Connecticut,41.83,-71.9874
Calhoun,Alabama,33.7714,-85.826
Henderson,North Carolina,35.3363,-82.48
Lycoming,Pennsylvania,41.3434,-77.0645
Flagler,Florida,29.4614,-81.3136
St. Mary's,Maryland,38.3024,-76.6058
Delaware,Indiana,40.2275,-85.3969
LaPorte,Indiana,41.546,-86.74
Ontario,New York,42.8528,-77.2998
Albemarle,Virginia,38.0229,-78.5567
Newton,Georgia,33.555,-83.8502
Mercer,Pennsylvania,41.3022,-80.2577
Douglas,Oregon,43.2797,-123.1665
Androscoggin,Maine,44.1658,-70.2065
Hardin,Kentucky,37.6979,-85.9634
Terrebonne,Louisiana,29.4148,-90.8663
LaSalle,Illinois,41.344,-88.8859
Craighead,Arkansas,35.8308,-90.6328
Cowlitz,Washington,46.1932,-122.681
Warren,New Jersey,40.8572,-74.9973
Hanover,Virginia,37.7601,-77.491
Eaton,Michigan,42.5961,-84.8383
St. Lawrence,New York,44.4964,-75.0691
Pennington,South Dakota,44.0037,-102.8238
Madison,Mississippi,32.6347,-90.0337
Kankakee,Illinois,41.1377,-87.8618
Miami,Ohio,40.0535,-84.2289
Bartow,Georgia,34.2377,-84.8404
Bradley,Tennessee,35.1541,-84.8596
Yamhill,Oregon,45.2326,-123.3081
Cass,Missouri,38.647,-94.3549
Matanuska-Susitna,Alaska,62.3155,-149.5728
Navajo,Arizona,35.3996,-110.3214
Vigo,Indiana,39.4306,-87.39
Houston,Alabama,31.1532,-85.3025
Walworth,Wisconsin,42.6685,-88.5419
Monongalia,West Virginia,39.6303,-80.0466
Carver,Minnesota,44.8207,-93.8026
Tompkins,New York,42.452,-76.4736
Sumter,South Carolina,33.9162,-80.3822
Rockwall,Texas,32.8978,-96.4079
Eau Claire,Wisconsin,44.7268,-91.286
Platte,Missouri,39.3803,-94.7738
Woodbury,Iowa,42.3897,-96.0448
Franklin,Missouri,38.4111,-91.075
Macon,Illinois,39.86,-88.9616
Bay,Michigan,43.7074,-83.9922
Fond du Lac,Wisconsin,43.7536,-88.4883
Adams,Pennsylvania,39.8715,-77.2179
Etowah,Alabama,34.0453,-86.0348
Flathead,Montana,48.2951,-114.0497
Cecil,Maryland,39.5712,-75.9407
Wicomico,Maryland,38.3733,-75.6208
Whitfield,Georgia,34.8056,-84.9672
Daviess,Kentucky,37.7318,-87.0873
Allen,Ohio,40.7715,-84.1058
Columbiana,Ohio,40.7684,-80.7772
Nevada,California,39.3013,-120.7689
Craven,North Carolina,35.1249,-77.0939
Limestone,Alabama,34.8101,-86.9814
Highlands,Florida,27.3433,-81.341
DeKalb,Illinois,41.8935,-88.7703
Laramie,Wyoming,41.307,-104.6895
Garland,Arkansas,34.5768,-93.1504
Roanoke,Virginia,37.2785,-79.958
Lenawee,Michigan,41.8951,-84.0664
Montgomery,Virginia,37.1743,-80.3872
Sutter,California,39.0346,-121.6948
Maury,Tennessee,35.6169,-87.077
Cleveland,North Carolina,35.3341,-81.5555
Hunt,Texas,33.1236,-96.0855
Dubuque,Iowa,42.4688,-90.8825
Moore,North Carolina,35.3106,-79.4814
Madison,Tennessee,35.6081,-88.8385
Floyd,Georgia,34.2632,-85.2143
Story,Iowa,42.0362,-93.465
Sevier,Tennessee,35.7847,-83.5242
Putnam,New York,41.4267,-73.7495
Burleigh,North Dakota,46.9774,-100.4687
Grant,Washington,47.2057,-119.4518
Ashtabula,Ohio,41.7074,-80.7483
Lafourche,Louisiana,29.5661,-90.4256
Portsmouth,Virginia,36.8468,-76.354
Marshall,Alabama,34.367,-86.3066
Fairbanks North Star,Alaska,64.8078,-146.5654
Dallas,Iowa,41.6849,-94.0398
Roanoke,Virginia,37.2693,-80.068
Sherburne,Minnesota,45.444,-93.7746
Cape May,New Jersey,39.1496,-74.8002
Walton,Georgia,33.7816,-83.7339
Geauga,Ohio,41.4996,-81.1786
Franklin,Washington,46.5347,-118.899
Bastrop,Texas,30.1036,-97.312
Benton,Oregon,44.4918,-123.4293
Lancaster,South Carolina,34.6867,-80.7054
Rogers,Oklahoma,36.3715,-95.6043
Nash,North Carolina,35.9673,-77.9864
Cabell,West Virginia,38.4203,-82.2417
Grand Traverse,Michigan,44.6688,-85.5605
Steuben,New York,42.2678,-77.3838
Pottawattamie,Iowa,41.3366,-95.5423
Lauderdale,Alabama,34.9014,-87.654
Suffolk,Virginia,36.6953,-76.6398
Tuscarawas,Ohio,40.4409,-81.4738
Campbell,Kentucky,38.9465,-84.3795
Rockdale,Georgia,33.6543,-84.0266
Bowie,Texas,33.4458,-94.4234
Calvert,Maryland,38.5434,-76.5687
St. Croix,Wisconsin,45.034,-92.4526
Madison,Kentucky,37.7202,-84.278
Northumberland,Pennsylvania,40.852,-76.7095
Mendocino,California,39.4402,-123.3915
Wayne,New York,43.1566,-77.0294
Victoria,Texas,28.7964,-96.9715
Ozaukee,Wisconsin,43.384,-87.9509
Grafton,New Hampshire,43.9407,-71.8208
Rockingham,North Carolina,36.396,-79.775
St. Clair,Alabama,33.7157,-86.3146
Frederick,Virginia,39.2046,-78.2626
Liberty,Texas,30.1516,-94.8122
Dodge,Wisconsin,43.4163,-88.7075
Twin Falls,Idaho,42.356,-114.6672
